translation,book,chapter,verse,text
NIV2011,1,10,15,"Or <em>of the Sidonians, the foremost</em>"
NIV2011,1,10,21,"Or <em>Shem, the older brother of</em>"
NIV2011,1,10,23,See Septuagint and <a href='/NIV2011/13/1/17'>1 Chron. 1:17</a>; Hebrew <em>Mash.</em>
NIV2011,1,10,24,"Hebrew; Septuagint <em>father of Cainan, and Cainan was the father of</em>"
NIV2011,1,10,25,<em>Peleg </em>means <em>division.</em>
NIV2011,1,11,2,Or <em>from the east</em>; or <em>in the east</em>
NIV2011,1,11,2,"That is, Babylonia"
NIV2011,1,11,9,"That is, Babylon; <em>Babel </em>sounds like the Hebrew for <em>confused</em><em>.</em>"
NIV2011,1,11,10,<em>Father </em>may mean <em>ancestor</em>; also in verses 11-25.
NIV2011,1,11,13,"Hebrew; Septuagint (see also <a href='/NIV2011/42/3/35'>Luke 3:35</a>,<a href='/NIV2011/42/3/36'>36</a> and <a href=C:@10 10:24>note</a> at <a href='/NIV2011/1/10/24'>Gen. 10:24</a>) <em>35 years, he became the father of Cainan. </em>13 <em>And after he became the father of Cainan, Arphaxad lived 430 years and had other sons and daughters, and then he died. When Cainan had lived 130 years, he became the father of Shelah. And after he became the father of Shelah, Cainan lived 330 years and had other sons and daughters</em>"
NIV2011,1,12,2,Or <em>be seen as blessed</em>
NIV2011,1,12,3,Or <em>earth / will use your name in blessings </em>(see 48:20)
NIV2011,1,12,7,Or <em>seed</em>
NIV2011,1,13,15,Or <em>seed</em>; also in verse 16
NIV2011,1,14,1,"That is, Babylonia; also in verse 9"
NIV2011,1,14,13,Or <em>a relative</em>; or <em>an ally</em>
NIV2011,1,15,1,Or <em>sovereign</em>
NIV2011,1,15,1,Or <em>shield; / your reward will be very great</em>
NIV2011,1,15,2,The meaning of the Hebrew for this phrase is uncertain.
NIV2011,1,15,5,Or <em>seed</em>
NIV2011,1,15,18,Or <em>river</em>
NIV2011,1,16,11,<em>Ishmael </em>means <em>God hears.</em>
NIV2011,1,16,12,Or <em>live to the east / of</em>
NIV2011,1,16,13,Or <em>seen the back of</em>
NIV2011,1,16,14,<em>Beer Lahai Roi </em>means <em>well of the Living One who sees me.</em>
NIV2011,1,17,1,Hebrew <em>El-Shaddai</em>
NIV2011,1,17,5,<em>Abram </em>means <em>exalted father.</em>
NIV2011,1,17,5,<em>Abraham </em>probably means <em>father of many</em><em>.</em>
NIV2011,1,17,19,<em>Isaac </em>means <em>he laughs.</em>
NIV2011,1,18,3,"Or <em>eyes, Lord</em>"
NIV2011,1,18,6,"That is, probably about 36 pounds or about 16 kilograms"
NIV2011,1,18,18,Or <em>will use his name in blessings </em>(see 48:20)
NIV2011,1,18,22,Masoretic Text; an ancient Hebrew scribal tradition <em>but the LORD remained standing before Abraham</em>
NIV2011,1,18,24,Or <em>forgive</em>; also in verse 26
NIV2011,1,19,14,Or <em>were married to</em>
NIV2011,1,19,18,"Or <em>No, Lord</em>; or <em>No, my lord</em>"
NIV2011,1,19,19,The Hebrew is singular.
NIV2011,1,19,19,The Hebrew is singular.
NIV2011,1,19,19,The Hebrew is singular.
NIV2011,1,19,22,<em>Zoar </em>means <em>small.</em>
NIV2011,1,19,37,<em>Moab </em>sounds like the Hebrew for <em>from father.</em>
NIV2011,1,19,38,<em>Ben-Ammi </em>means <em>son of my father’s people.</em>
NIV2011,1,19,38,Hebrew <em>Bene-Ammon</em>
NIV2011,1,20,16,"That is, about 25 pounds or about 12 kilograms"
NIV2011,1,21,3,<em>Isaac </em>means <em>he laughs.</em>
NIV2011,1,21,12,Or <em>seed</em>
NIV2011,1,21,16,Hebrew; Septuagint <em>the child</em>
NIV2011,1,21,31,<em>Beersheba </em>can mean <em>well of seven </em>and <em>well of the oath.</em>
NIV2011,1,22,13,"Many manuscripts of the Masoretic Text, Samaritan Pentateuch, Septuagint and Syriac; most manuscripts of the Masoretic Text <em>a ram behind him</em>"
NIV2011,1,22,18,Or <em>seed</em>
NIV2011,1,22,18,Or <em>and all nations on earth will use the name of your offspring in blessings </em>(see 48:20)
NIV2011,1,23,3,"Or <em>the descendants of Heth</em>; also in verses 5, 7, 10, 16, 18 and 20"
NIV2011,1,23,11,Or <em>sell</em>
NIV2011,1,23,11,Or <em>sell</em>
NIV2011,1,23,11,Or <em>sell</em>
NIV2011,1,23,15,"That is, about 10 pounds or about 4.6 kilograms"
NIV2011,1,24,7,Or <em>seed</em>
NIV2011,1,24,10,"That is, Northwest Mesopotamia"
NIV2011,1,24,22,"That is, about 1/5 ounce or about 5.7 grams"
NIV2011,1,24,22,"That is, about 4 ounces or about 115 grams"
NIV2011,1,24,55,Or <em>she</em>
NIV2011,1,24,63,The meaning of the Hebrew for this word is uncertain.
NIV2011,1,25,10,Or <em>the descendants of Heth</em>
NIV2011,1,25,18,Or <em>lived to the east of</em>
NIV2011,1,25,20,"That is, Northwest Mesopotamia"
NIV2011,1,25,25,<em>Esau </em>may mean <em>hairy</em><em>.</em>
NIV2011,1,25,26,"<em>Jacob </em>means <em>he grasps the heel, </em>a Hebrew idiom for <em>he deceives.</em>"
NIV2011,1,25,30,<em>Edom </em>means <em>red</em><em>.</em>
NIV2011,1,26,4,Or <em>seed</em>
NIV2011,1,26,4,Or <em>and all nations on earth will use the name of your offspring in blessings </em>(see 48:20)
NIV2011,1,26,20,<em>Esek </em>means <em>dispute</em><em>.</em>
NIV2011,1,26,21,<em>Sitnah </em>means <em>opposition.</em>
NIV2011,1,26,22,<em>Rehoboth </em>means <em>room</em><em>.</em>
NIV2011,1,26,33,<em>Shibah </em>can mean <em>oath </em>or <em>seven.</em>
NIV2011,1,26,33,<em>Beersheba </em>can mean <em>well of the oath </em>and <em>well of seven.</em>
NIV2011,1,27,36,"<em>Jacob </em>means <em>he grasps the heel</em>, a Hebrew idiom for <em>he takes advantage of </em>or <em>he deceives.</em>"
NIV2011,1,28,2,"That is, Northwest Mesopotamia; also in verses 5, 6 and 7"
NIV2011,1,28,3,Hebrew <em>El-Shaddai</em>
NIV2011,1,28,13,Or <em>There beside him</em>
NIV2011,1,28,14,Or <em>will use your name and the name of your offspring in blessings </em>(see 48:20)
NIV2011,1,28,19,<em>Bethel </em>means <em>house of God.</em>
NIV2011,1,28,20,"Or <em>Since God… father’s household, the LORD</em>"
NIV2011,1,28,21,"Or <em>household, and the LORD will be my God, </em>22 <em>then</em>"
NIV2011,1,29,17,Or <em>delicate</em>
NIV2011,1,29,32,"<em>Reuben </em>sounds like the Hebrew for <em>he </em><em>has seen my misery</em>; the name means <em>see, a son.</em>"
NIV2011,1,29,33,<em>Simeon </em>probably means <em>one who hears.</em>
NIV2011,1,29,34,<em>Levi </em>sounds like and may be derived from the Hebrew for <em>attached</em><em>.</em>
NIV2011,1,29,35,<em>Judah </em>sounds like and may be derived from the Hebrew for <em>praise</em><em>.</em>
NIV2011,1,30,6,<em>Dan </em>here means <em>he </em><em>has vindicated</em><em>.</em>
NIV2011,1,30,8,<em>Naphtali </em>means <em>my </em><em>struggle</em><em>.</em>
NIV2011,1,30,11,Or <em>“A troop is coming!”</em>
NIV2011,1,30,11,<em>Gad </em>can mean <em>good fortune </em>or <em>troop.</em>
NIV2011,1,30,13,<em>Asher </em>means <em>happy</em><em>.</em>
NIV2011,1,30,18,<em>Issachar </em>sounds like the Hebrew for <em>reward</em><em>.</em>
NIV2011,1,30,20,<em>Zebulun </em>probably means <em>honor</em><em>.</em>
NIV2011,1,30,24,<em>Joseph </em>means <em>may he add.</em>
NIV2011,1,31,18,"That is, Northwest Mesopotamia"
NIV2011,1,31,47,The Aramaic <em>Jegar Sahadutha </em>and the Hebrew <em>Galeed </em>both mean <em>witness heap.</em>
NIV2011,1,31,49,<em>Mizpah </em>means <em>watchtower.</em>
NIV2011,1,31,55,In Hebrew texts this verse (<a href='/NIV2011/1/31/55'>31:55</a>) is numbered 32:1.
NIV2011,1,32,1,In Hebrew texts 32:1-32 is numbered 32:2-33.
NIV2011,1,32,2,<em>Mahanaim </em>means <em>two camps.</em>
NIV2011,1,32,7,Or <em>camps</em>
NIV2011,1,32,8,Or <em>camp</em>
NIV2011,1,32,8,Or <em>camp</em>
NIV2011,1,32,28,<em>Israel </em>probably means <em>he struggles with God.</em>
NIV2011,1,32,30,<em>Peniel </em>means <em>face of God.</em>
NIV2011,1,32,31,"Hebrew <em>Penuel</em>, a variant of <em>Peniel</em>"
NIV2011,1,33,17,<em>Sukkoth </em>means <em>shelters</em><em>.</em>
NIV2011,1,33,18,"That is, Northwest Mesopotamia"
NIV2011,1,33,19,Hebrew <em>hundred kesitahs</em>; a kesitah was a unit of money of unknown weight and value.
NIV2011,1,33,20,<em>El Elohe Israel </em>can mean <em>El is the God of Israel </em>or <em>mighty is the God of Israel.</em>
NIV2011,1,34,7,Or <em>against</em>
NIV2011,1,34,10,Or <em>move about freely</em>; also in verse 21
NIV2011,1,34,27,Or <em>because</em>
NIV2011,1,35,7,<em>El Bethel </em>means <em>God of Bethel.</em>
NIV2011,1,35,8,<em>Allon Bakuth </em>means <em>oak of weeping.</em>
NIV2011,1,35,9,"That is, Northwest Mesopotamia; also in verse 26"
NIV2011,1,35,10,"<em>Jacob </em>means <em>he grasps the heel, </em>a Hebrew idiom for <em>he deceives.</em>"
NIV2011,1,35,10,<em>Israel </em>probably means <em>he struggles with God.</em>
NIV2011,1,35,11,Hebrew El-Shaddai
NIV2011,1,35,15,<em>Bethel </em>means <em>house of God.</em>
NIV2011,1,35,18,<em>Ben-Oni </em>means <em>son of my trouble.</em>
NIV2011,1,35,18,<em>Benjamin </em>means <em>son of my right hand.</em>
NIV2011,1,36,16,Masoretic Text; Samaritan Pentateuch (also verse <a href='/NIV2011/1/36/11'>11</a> and <a href='/NIV2011/13/1/36'>1 Chron. 1:36</a>) does not have <em>Korah</em>.
NIV2011,1,36,22,"Hebrew <em>Hemam, </em>a variant of <em>Homam </em>(see <a href='/NIV2011/13/1/39'>1 Chron. 1:39</a>)"
NIV2011,1,36,24,Vulgate; Syriac <em>discovered water; </em>the meaning of the Hebrew for this word is uncertain.
NIV2011,1,36,26,"Hebrew <em>Dishan, </em>a variant of <em>Dishon</em>"
NIV2011,1,36,39,"Many manuscripts of the Masoretic Text, Samaritan Pentateuch and Syriac (see also <a href='/NIV2011/13/1/50'>1 Chron. 1:50</a>); most manuscripts of the Masoretic Text <em>Hadar</em>"
NIV2011,1,37,3,The meaning of the Hebrew for this word is uncertain; also in verses 23 and 32.
NIV2011,1,37,28,"That is, about 8 ounces or about 230 grams"
NIV2011,1,37,36,"Samaritan Pentateuch, Septuagint, Vulgate and Syriac (see also verse <a href='/NIV2011/1/37/28'>28</a>); Masoretic Text <em>Medanites</em>"
NIV2011,1,38,29,<em>Perez </em>means <em>breaking out.</em>
NIV2011,1,38,30,<em>Zerah </em>can mean <em>scarlet </em>or <em>brightness.</em>
NIV2011,1,40,16,Or <em>three wicker baskets</em>
NIV2011,1,41,38,Or <em>of the gods</em>
NIV2011,1,41,43,Or <em>in the chariot of his second-in-command</em>; or <em>in his second chariot</em>
NIV2011,1,41,43,Or <em>Bow down</em>
NIV2011,1,41,45,"That is, Heliopolis; also in verse 50"
NIV2011,1,41,51,<em>Manasseh </em>sounds like and may be derived from the Hebrew for <em>forget</em><em>.</em>
NIV2011,1,41,52,<em>Ephraim </em>sounds like the Hebrew for <em>twice </em><em>fruitful</em><em>.</em>
NIV2011,1,42,34,Or <em>move about freely</em>
NIV2011,1,43,14,Hebrew <em>El-Shaddai</em>
NIV2011,1,45,7,Or <em>save you as a great band of survivors</em>
NIV2011,1,45,22,"That is, about 7 1/2 pounds or about 3.5 kilograms"
NIV2011,1,46,13,Samaritan Pentateuch and Syriac (see also <a href='/NIV2011/13/7/1'>1 Chron. 7:1</a>); Masoretic Text Puvah
NIV2011,1,46,13,Samaritan Pentateuch and some Septuagint manuscripts (see also <a href='/NIV2011/4/26/24'>Num. 26:24</a> and <a href='/NIV2011/13/7/1'>1 Chron. 7:1</a>); Masoretic Text Iob
NIV2011,1,46,15,"That is, Northwest Mesopotamia"
NIV2011,1,46,16,Samaritan Pentateuch and Septuagint (see also <a href='/NIV2011/4/26/15'>Num. 26:15</a>); Masoretic Text Ziphion
NIV2011,1,46,20,"That is, Heliopolis"
NIV2011,1,46,27,Hebrew; Septuagint <em>the nine children</em>
NIV2011,1,46,27,Hebrew (see also <a href='/NIV2011/2/1/5'>Exodus 1:5</a> and note); Septuagint (see also <a href='/NIV2011/44/7/14'>Acts 7:14</a>) <em>seventy-five</em>
NIV2011,1,46,29,Hebrew <em>around him</em>
NIV2011,1,47,7,Or <em>greeted</em>
NIV2011,1,47,10,Or <em>said farewell to</em>
NIV2011,1,47,21,Samaritan Pentateuch and Septuagint (see also Vulgate); Masoretic Text <em>and he moved the people into the cities</em>
NIV2011,1,47,31,Or <em>Israel bowed down at the head of his bed</em>
NIV2011,1,48,3,Hebrew <em>El-Shaddai</em>
NIV2011,1,48,7,"That is, Northwest Mesopotamia"
NIV2011,1,48,20,The Hebrew is singular.
NIV2011,1,48,21,The Hebrew is plural.
NIV2011,1,48,21,The Hebrew is plural.
NIV2011,1,48,21,The Hebrew is plural.
NIV2011,1,48,22,The Hebrew for <em>ridge of land </em>is identical with the place name Shechem.
NIV2011,1,49,5,The meaning of the Hebrew for this word is uncertain.
NIV2011,1,49,8,<em>Judah </em>sounds like and may be derived from the Hebrew for <em>praise</em><em>.</em>
NIV2011,1,49,10,Or <em>from his descendants</em>
NIV2011,1,49,10,Or <em>to whom tribute belongs</em>; the meaning of the Hebrew for this phrase is uncertain.
NIV2011,1,49,12,"Or <em>will be dull from wine, / his teeth white from milk</em>"
NIV2011,1,49,14,Or <em>strong</em>
NIV2011,1,49,14,Or <em>the campfires</em>; or <em>the saddlebags</em>
NIV2011,1,49,16,<em>Dan </em>here means <em>he provides </em><em>justice</em><em>.</em>
NIV2011,1,49,19,<em>Gad </em>sounds like the Hebrew for <em>attack </em>and also for <em>band of raiders</em><em>.</em>
NIV2011,1,49,21,Or <em>free; / he utters beautiful words</em>
NIV2011,1,49,22,"Or <em>Joseph is a wild colt, / a wild colt near a spring, / a wild donkey on a terraced hill</em>"
NIV2011,1,49,23,Or <em>archers will attack… will shoot… will remain… will stay</em>
NIV2011,1,49,25,Hebrew <em>Shaddai</em>
NIV2011,1,49,26,"Or <em>of my progenitors, / as great as</em>"
NIV2011,1,49,26,Or <em>of the one separated from</em>
NIV2011,1,49,32,Or <em>the descendants of Heth</em>
NIV2011,1,50,9,Or <em>charioteers</em>
NIV2011,1,50,11,<em>Abel Mizraim </em>means <em>mourning </em><em>of the </em><em>Egyptians</em><em>.</em>
NIV2011,1,50,23,"That is, were counted as his"
NIV2011,2,1,5,Masoretic Text (see also <a href='/NIV2011/1/46/27'>Gen. 46:27</a>); Dead Sea Scrolls and Septuagint (see also <a href='/NIV2011/44/7/14'>Acts 7:14</a> and <a href=C:@10 46:27>note</a> at <a href='/NIV2011/1/46/27'>Gen. 46:27</a>) <em>seventy-five</em>
NIV2011,2,2,3,"The Hebrew can also mean <em>ark</em>, as in <a href='/NIV2011/1/6/14'>Gen. 6:14</a>."
NIV2011,2,2,10,<em>Moses </em>sounds like the Hebrew for <em>draw out.</em>
NIV2011,2,2,22,<em>Gershom </em>sounds like the Hebrew for <em>a foreigner </em><em>there.</em>
NIV2011,2,3,6,Masoretic Text; Samaritan Pentateuch (see <a href='/NIV2011/44/7/32'>Acts 7:32</a>) <em>fathers</em>
NIV2011,2,3,12,The Hebrew is plural.
NIV2011,2,3,14,Or <em>I WILL BE WHAT I WILL BE</em>
NIV2011,2,3,15,The Hebrew for <em>LORD</em>sounds like and may be related to the Hebrew for <em>I AM</em>in verse <a href='/NIV2011/2/3/14'>14</a>.
NIV2011,2,4,6,The Hebrew word for <em>leprous </em>was used for various diseases affecting the skin.
NIV2011,2,4,24,Hebrew <em>him</em>
NIV2011,2,4,25,The meaning of the Hebrew for this clause is uncertain.
NIV2011,2,6,3,Hebrew <em>El-Shaddai</em>
NIV2011,2,6,3,See <a href=C:@20 3:15>note</a> at <a href='/NIV2011/2/3/15'>3:15</a>.
NIV2011,2,6,12,Hebrew <em>I am uncircumcised of lips</em>; also in verse 30
NIV2011,2,6,14,The Hebrew for <em>families </em>here and in verse 25 refers to units larger than clans.
NIV2011,2,7,19,Or <em>even on their idols</em>
NIV2011,2,8,1,"In Hebrew texts 8:1-4 is numbered 7:26-29, and 8:5-32 is numbered 8:1-28."
NIV2011,2,8,23,Septuagint and Vulgate; Hebrew <em>will put a deliverance</em>
NIV2011,2,9,16,Or <em>have spared you</em>
NIV2011,2,10,10,"Or <em>Be careful, trouble is in store for you!</em>"
NIV2011,2,10,19,Or <em>the Sea of Reeds</em>
NIV2011,2,12,3,The Hebrew word can mean <em>lamb </em>or <em>kid</em>; also in verse 4.
NIV2011,2,12,40,Masoretic Text; Samaritan Pentateuch and Septuagint <em>Egypt and Canaan</em>
NIV2011,2,13,18,Or <em>the Sea of Reeds</em>
NIV2011,2,13,19,See <a href='/NIV2011/1/50/25'>Gen. 50:25</a>.
NIV2011,2,14,9,"Or <em>charioteers</em>; also in verses 17, 18, 23, 26 and 28"
NIV2011,2,14,25,"See Samaritan Pentateuch, Septuagint and Syriac; Masoretic Text <em>removed</em>"
NIV2011,2,14,27,Or <em>from</em>
NIV2011,2,15,2,Or <em>song</em>
NIV2011,2,15,4,Or <em>the Sea of Reeds</em>; also in verse 22
NIV2011,2,15,15,Or <em>rulers</em>
NIV2011,2,15,16,Or <em>created</em>
NIV2011,2,15,19,Or <em>charioteers</em>
NIV2011,2,15,23,<em>Marah </em>means <em>bitter</em><em>.</em>
NIV2011,2,16,16,"That is, possibly about 3 pounds or about 1.4 kilograms; also in verses 18, 32, 33 and 36"
NIV2011,2,16,22,"That is, possibly about 6 pounds or about 2.8 kilograms"
NIV2011,2,16,28,The Hebrew is plural.
NIV2011,2,16,31,<em>Manna </em>sounds like the Hebrew for <em>What is it? </em>(see verse <a href='/NIV2011/2/16/15'>15</a>).
NIV2011,2,17,7,<em>Massah </em>means <em>testing.</em>
NIV2011,2,17,7,<em>Meribah </em>means <em>quarreling.</em>
NIV2011,2,17,16,Or <em>to</em>
NIV2011,2,17,16,The meaning of the Hebrew for this clause is uncertain.
NIV2011,2,18,3,<em>Gershom </em>sounds like the Hebrew for <em>a foreigner </em><em>there.</em>
NIV2011,2,18,4,<em>Eliezer </em>means <em>my God is </em><em>helper</em><em>.</em>
NIV2011,2,19,5,"Or <em>possession, for the whole earth is mine. </em>6 <em>You</em>"
NIV2011,2,19,18,Most Hebrew manuscripts; a few Hebrew manuscripts and Septuagint <em>and all the people</em>
NIV2011,2,19,19,Or <em>and God answered him with thunder</em>
NIV2011,2,20,3,Or <em>besides</em>
NIV2011,2,21,6,Or <em>before God</em>
NIV2011,2,21,8,Or <em>master so that he does not choose her</em>
NIV2011,2,21,15,Or <em>kills</em>
NIV2011,2,21,18,Or <em>with a tool</em>
NIV2011,2,21,22,Or <em>she has a miscarriage</em>
NIV2011,2,21,32,"That is, about 12 ounces or about 345 grams"
NIV2011,2,22,1,"In Hebrew texts 22:1 is numbered 21:37, and 22:2-31 is numbered 22:1-30."
NIV2011,2,22,8,"Or <em>before God, and he will</em>"
NIV2011,2,22,9,Or <em>before God</em>
NIV2011,2,22,9,Or <em>whom God declares</em>
NIV2011,2,22,20,"The Hebrew term refers to the irrevocable giving over of things or persons to the LORD, often by totally destroying them."
NIV2011,2,22,28,Or <em>Do not revile the judges</em>
NIV2011,2,22,29,The meaning of the Hebrew for this phrase is uncertain.
NIV2011,2,23,31,Or <em>the Sea of Reeds</em>
NIV2011,2,23,31,Hebrew <em>to the Sea of the Philistines</em>
NIV2011,2,25,5,Possibly the hides of large aquatic mammals
NIV2011,2,25,10,"That is, a chest"
NIV2011,2,25,10,"That is, about 3 3/4 feet long and 2 1/4 feet wide and high or about 1.1 meters long and 68 centimeters wide and high; similarly in verse 17"
NIV2011,2,25,23,"That is, about 3 feet long, 1 1/2 feet wide and 2 1/4 feet high or about 90 centimeters long, 45 centimeters wide and 68 centimeters high"
NIV2011,2,25,25,"That is, about 3 inches or about 7.5 centimeters"
NIV2011,2,25,39,"That is, about 75 pounds or about 34 kilograms"
NIV2011,2,26,2,"That is, about 42 feet long and 6 feet wide or about 13 meters long and 1.8 meters wide"
NIV2011,2,26,8,"That is, about 45 feet long and 6 feet wide or about 13.5 meters long and 1.8 meters wide"
NIV2011,2,26,13,"That is, about 18 inches or about 45 centimeters"
NIV2011,2,26,14,Possibly the hides of large aquatic mammals (see <a href='/NIV2011/2/25/5'>25:5</a>)
NIV2011,2,26,16,"That is, about 15 feet long and 2 1/4 feet wide or about 4.5 meters long and 68 centimeters wide"
NIV2011,2,27,1,"That is, about 4 1/2 feet or about 1.4 meters"
NIV2011,2,27,1,"That is, about 7 1/2 feet or about 2.3 meters long and wide"
NIV2011,2,27,9,"That is, about 150 feet or about 45 meters; also in verse 11"
NIV2011,2,27,12,"That is, about 75 feet or about 23 meters; also in verse 13"
NIV2011,2,27,14,"That is, about 23 feet or about 6.8 meters; also in verse 15"
NIV2011,2,27,16,"That is, about 30 feet or about 9 meters"
NIV2011,2,27,18,"That is, about 150 feet long and 75 feet wide or about 45 meters long and 23 meters wide"
NIV2011,2,27,18,"That is, about 7 1/2 feet or about 2.3 meters"
NIV2011,2,28,16,"That is, about 9 inches or about 23 centimeters"
NIV2011,2,28,20,The precise identification of some of these precious stones is uncertain.
NIV2011,2,28,32,The meaning of the Hebrew for this word is uncertain.
NIV2011,2,29,9,Hebrew; Septuagint <em>on them</em>
NIV2011,2,29,14,Or <em>purification offering</em>; also in verse 36
NIV2011,2,29,40,"That is, probably about 3 1/2 pounds or about 1.6 kilograms"
NIV2011,2,29,40,"That is, probably about 1 quart or about 1 liter"
NIV2011,2,30,2,"That is, about 1 1/2 feet long and wide and 3 feet high or about 45 centimeters long and wide and 90 centimeters high"
NIV2011,2,30,10,Or <em>purification offering</em>
NIV2011,2,30,13,"That is, about 1/5 ounce or about 5.8 grams; also in verse 15"
NIV2011,2,30,23,"That is, about 12 1/2 pounds or about 5.8 kilograms; also in verse 24"
NIV2011,2,30,23,"That is, about 6 1/4 pounds or about 2.9 kilograms"
NIV2011,2,30,24,"That is, probably about 1 gallon or about 3.8 liters"
NIV2011,2,32,1,Or <em>a god</em>; also in verses 23 and 31
NIV2011,2,32,4,Or <em>This is your god</em>; also in verse 8
NIV2011,2,34,13,"That is, wooden symbols of the goddess Asherah"
NIV2011,2,34,22,"That is, in the autumn"
NIV2011,2,35,7,Possibly the hides of large aquatic mammals; also in verse 23
NIV2011,2,36,9,"That is, about 42 feet long and 6 feet wide or about 13 meters long and 1.8 meters wide"
NIV2011,2,36,15,"That is, about 45 feet long and 6 feet wide or about 14 meters long and 1.8 meters wide"
NIV2011,2,36,19,Possibly the hides of large aquatic mammals (see <a href='/NIV2011/2/35/7'>35:7</a>)
NIV2011,2,36,21,"That is, about 15 feet long and 2 1/4 feet wide or about 4.5 meters long and 68 centimeters wide"
NIV2011,2,37,1,"That is, about 3 3/4 feet long and 2 1/4 feet wide and high or about 1.1 meters long and 68 centimeters wide and high; similarly in verse 6"
NIV2011,2,37,10,Or <em>He</em>; also in verses 11-29
NIV2011,2,37,10,"That is, about 3 feet long, 1 1/2 feet wide and 2 1/4 feet high or about 90 centimeters long, 45 centimeters wide and 68 centimeters high"
NIV2011,2,37,12,"That is, about 3 inches or about 7.5 centimeters"
NIV2011,2,37,24,"That is, about 75 pounds or about 34 kilograms"
NIV2011,2,37,25,"That is, about 1 1/2 feet long and wide and 3 feet high or about 45 centimeters long and wide and 90 centimeters high"
NIV2011,2,38,1,Or <em>He</em>; also in verses 2-9
NIV2011,2,38,1,"That is, about 4 1/2 feet or about 1.4 meters"
NIV2011,2,38,1,"That is, about 7 1/2 feet or about 2.3 meters long and wide"
NIV2011,2,38,9,"That is, about 150 feet or about 45 meters"
NIV2011,2,38,12,"That is, about 75 feet or about 23 meters"
NIV2011,2,38,14,"That is, about 22 feet or about 6.8 meters"
NIV2011,2,38,18,"That is, about 30 feet or about 9 meters"
NIV2011,2,38,18,"That is, about 7 1/2 feet or about 2.3 meters"
NIV2011,2,38,24,The weight of the gold was a little over a ton or about 1 metric ton.
